text,label
gunung agung erupsi kali november letusan wita asap teramati bertekanan warna kelabu tebal ketinggian maksimum m puncak abu letusan bertiup lemah arah timurtenggara masyarakat tenang mengikuti rekomendasi pvmbg gunung agung terletak kabupaten karangasem provinsi bali erupsi sabtu november wita abu bertekanan m puncak gunung agung erupsi kepala pusat data informasi humas badan nasional penanggulangan bencana bnpb sutopo purwo nugroho erupsi visual teramati daerah culik batulompeh arah barat barat daya asap kelabukehitaman tekanan status gunung agung siaga level pusat vulkanologi mitigasi bencana geologi pvmbg menaikkan status gunung agung siaga level awas level senin november pengungsi akibat erupsi gunung agung mencapai jiwa berasal wilayah masuk zona berbahaya aktivitas gunung agung bali meningkat mengakibatkan bandara i gusti ngurah rai ditutup communication and legal section bandara i gusti ngurah rai arie ahsanurrohim mengonfirmasi penutupan bandara berlaku jamâ berdasarkan notam bandara ditutup wita wita esok penutupan pagi esok jam arie senin november penutupan bandara abu vulkanik gunung agung menutup air space bandara level imbasnya penerbangan domestik negeri terganggu ditunda dibatalkan akibat penutupan penerbangan dialihkan pendaratannya bandarabandara terdekat juanda makassar lombok kupang gunung agung erupsi berulang kali status tanggap darurat gunung agung dicabut keputusan diambil rapat terbatas dipimpin langsung presiden joko widodo jokowi wisma wedhapura sanur denpasar bali jumat desember jokowi memaparkan alasan pencabutan status darurat bencana gunung agung presiden jumat malam kendati menjamin pengungsi ditangani halhal berkaitan bencana erupsi gunung agung disiapkan pengungsi ditangani prosesproses berkaitan gunung agung erupsi stepstep manajemen evakuasi disiapkan keselamatan utama jokowi presiden jokowi status gunung agung awas level iv radius zona bahaya kilometer puncak kawah gunung agung diimagekan bali berstatus awas pencabutan status gunung agung meletus sabtu desember sore minggu desember pagi wita mengeluarkan asap kelabu tebal kolom abu vulkanik meter puncak kawah mengarah timur laut kepala pusat data informasi humas badan nasional penanggulangan bencana bnpb sutopo purwo nugroho erupsi menit erupsi dikhawatirkan dampak merusak erupsi aktivitas masyarakat bali normal masyarakat bali menikmati erupsi kepanikan masyarakat masyarakat teredukasi erupsi ancaman gunung agung sutopo keterangan tertulis diterima liputancom minggu desember,1
jakarta cnn indonesia menteri bumn erick thohir resmi basuki tjahaja purnama alias ahok komisaris utama pt pertamina persero basuki tjahaja purnama komisaris utama pertamina didampingi wamen bumn budi gunadi sadikin wakil komisaris utama pertamina jumat nama erick menyodorkan emma sri martini eks direktur utama telkomsel emma direktur keuangan pertamina menggantikan pahala nugraha mansury pergantian pahala pertamina sambung erick berkaitan tugas barunya pt bank tabungan negara persero tbk pahala dibantu chandra hamzah komisaris utama btn erick mengklaim namanama tim penilai tpa tpa tpa komentar namanama pejabat pertamina jumat lambat senin pertamina tbk disegerakan senin terang ericksementara pergantian pejabat btn rapat pemegang saham rups,1
dosen fakultas kedokteran hewan ipb yusuf ridwan kantong plastik kresek berwarna hitam mengandung zat karsinogen zat pewarna tercampur daging akibat kontaminasi zat menyebabkan kanker pusat data informasi persatuan rumah sakit indonesia perssi badan pengawas obat makanan bpom mengeluarkan peringatan masyarakat tas kresek berwarna membungkus makanan santap,1
jakarta anggota tni serda n serda da ditusuk orang dikenal terlibat keributan biliar jalan raya bogor km cimanggis depok akibat kejadian serda n serda da dirawat rspad gatot subroto ya penusukan anggota kodam jaya kapendam jaya kolonel inf kristomei sianturi detikcom jumat kristomei peristiwa kamis wib anggota tni mengalami luka tusuk perut luka tusuk perut kiri serda da serda n luka tusuk kanan dibawa rspad kristomei detail keributan biliar berkoordinasi kepolisian mencari penyebab kejadian pelaku penusukan telusuri penyebabnya saksisaksi diselidiki kepolisian sih menyebabkan perkelahian saksinya kejar orangnya pelakunya imbuh,1
akui tembak jatuh pesawat ukraina iran tuai gelombang protes,1
jakarta cnn indonesia ratusan pedemo berunjuk kota teheran memprotes keteledoran militer iran menembak jatuh pesawat komersial ukraina sengaja menewaskan penumpang protes pekan dilaporkan diikuti ratusan pedemo kelompok pelajar video tersebar media sosial pedemo berkumpul alunalun azadi pusat kota meneriakkan sloganslogan antipemerintah iran bentrokan pedemo aparat keamanan dikabarkan terelakkan video tersebar media sosial aparat keamanan menembakkan gas air mata peluru hidup meredam pemrotes pemerintah berbohong musuh amerika musuh teriak pedemo video associated press kerumunan demonstran berhamburan melarikan azadi square tabung gas air mata dilemparkan arah terisakisak batuk pedemo berupaya menghindari asap menembakkan gas air mata orangorang alunalun azadi kematian diktaktor wanita video bahasa farsi foto video genangan darah berlumuran trotoar unjuk korps garda revolusi angkatan bersenjata iran mengakui menembak jatuh ukraine international airlines akibat human error pekan kepolisian iran menampik aparatnya bertindak represif meredam unjuk kepala polisi teheran jenderal hossein rahimi membantah aparatnya senjata melepaskan tembakan menangani demo,1
komandan isis afrika tewas serangan udara,1
jakarta cnn indonesia pasukan gabungan afrika dilaporkan berhasil menewaskan tokoh isis afrika barat amir khalifa umar salah pentolan kelompok teror dicaricari dilansir associated press senin kepala penerangan satuan tugas gabungan multinasional afrika kolonel timothy antigha umar tewas serangan udara menargetkan lokasi persembunyian isis afrika barat tunbums sabon danau chad menggelar operasi isis afrika barat pengikutnya kekerasan basin danau chad antigha antigha umar orang menduduki posisi ketiga terkuat kelompok tokoh isis afrika barat meninggal serangan udara terpisah pasukan gabungan afrika benin kamerun chad niger nigeria berusaha menumpas kelompok ekstremis boko haram nigeria isis afrika barat danau chad,1
jakarta cnn indonesia katib aam pengurus nahdlatul ulama pbnu yahya cholil staquf dijadwalkan hadir pembicara pertemuan tingkat agamaagama ibrahim vatikan januari yahya cholil salah enam tokoh wakil dunia islam diundang kontribusi pemikiran gerakan perdamaian dunia undangan vatikan bertemu paus september gus yahya keterangan tertulis senin gus yahya pertemuan kali diinisiasi multifaith neighbours network jaringan tetangga antaragama organisasi amerika diawaki imam mohamed magid imam eksekutif all dulles area muslim society center pusat komunitas muslim wilayah dulles sterling virginia amerika serikat pastor bob roberts pendiri gereja northwood keller texas as rabbi david saperstein presiden world union for progressive judaism perserikatan yahudi progresif dunia tokohtokoh agama ibrahim islam kristen yahudi bertemu bermusyawarah membangun gerakan perdamaian gus yahya duta gerakan pemuda ansor dunia islam masingmasing agama diwakili enam tokoh kalangan islam kh yahya cholil staquf hadir syaikh abdul karim khasawneh grand mufti yordania syaikh abdullah bin bayah dewan fatwa uni emirat arab sayyed yousif al khoei direktur pusat studi akademik syiah inggris imam hassan qazwini institut islam amerika michigan ingrid mattson profesor university of western ontario kanada kalangan kristen diwakili kardinal miguel angel ayuso guixot presiden pontifical council for interreligious dialogue dewan kepausan dialog antaragama pthomas k johnson duta world evangelical alliance vatikan humanitarian islam yahudi diwakili chief rabbi david rosen direktur internasional masalahmasalah agama american jewish committee beserta rabbi senior amerika italia penyelenggara partisipasi gus yahya pertemuan tingkat mutlak surat undangan gus yahya pastor bob roberts nama multifaith neighbours network kepemimpinan mendunia humanitarian islam kegigihan mewujudkan tindakantindakan nyata memperkaya abrahamic faiths initiative implementasi dampak global gus yahya membawa wawasanwawasan citacita peradaban mulia terkandung pembukaan uud beserta rencanarencana strategis dibangun lingkungan nahdlatul ulama dialog antaragama berhenti bertukar katakata manis kutipankutipan kitab suci pernyataan tokohtokoh suci umat manusia menunggu tokoh agama bicara sejujurjujurnya menimpa umat manusia dewasa permusuhan konflik bengis kelompok berbeda agama mantan anggota dewan pertimbangan presiden,1
jakarta cnn indonesia pemerintah sri lanka memberlakukan jam malam larangan penggunaan platform media sosial upaya menghentikan penyebaran rumor bentrokan kelompokkelompok warga sipil negombo jam malam diberlakukan daerah negombo pagi negombo wilayah utara ibukota negara salah pemboman minggu paskah pemboman militan islam menewaskan orang menimbulkan kekhawatiran muslim sasaran kekerasan komunal pemberitaan presiden sri lanka maithripala sirisena memberlakukan larangan kelompok islam dicurigai rencana pemboman minggu paskah sri lanka kelompok national thawheedh jamaath ntj jamathei millathu ibrahim jmi larangan aktivitas kelompok berlaku dibawah peraturan darurat berlaku sepekan peristiwa bom paskah pejabat keamanan ntj dicurigai kelompok utama serangan,1
